game_id,year,round,a_team_id,a_name,a_seed,a_oe,a_de,a_sos,a_win_rate,a_srs,a_tov_rate,a_orb_rate,a_ft_pct,a_pos_per_game,a_fga_per_game,a_three_pa_per_game,a_fta_per_game,b_team_id,b_name,b_seed,b_oe,b_de,b_sos,b_win_rate,b_srs,b_tov_rate,b_orb_rate,b_ft_pct,b_pos_per_game,b_fga_per_game,b_three_pa_per_game,b_fta_per_game,team_a_won
30,2025,Men's Basketball Championship - East Region - 1st Round,47,oregon,5,111.776,103.473,12.32,0.714,18.0,0.164806,0.148951,0.757,68.4789,58.8571,22.5143,19.4,28,liberty,12,113.724,95.0484,-0.99,0.8,7.42,0.151632,0.0972329,0.658,66.7029,55.9714,27.3714,16.1429,1
31,2025,Men's Basketball Championship - South Region - 1st Round,37,ole miss,6,111.903,103.97,12.8,0.667,18.28,0.130466,0.133285,0.738,68.9833,59.8889,23.9722,21.1111,45,north carolina,11,114.62,106.025,11.22,0.622,17.27,0.152341,0.13891,0.741,70.4324,60.2703,22.4054,20.9459,1
32,2025,Men's Basketball Championship - Midwest Region - 1st Round,24,illinois,6,115.833,103.644,12.79,0.629,21.59,0.161857,0.17927,0.762,72.1977,63.8,30.1143,21.9429,66,xavier,11,112.645,103.23,8.72,0.647,15.25,0.157347,0.111967,0.789,69.3482,57.0,21.4118,20.9118,1
33,2025,Men's Basketball Championship - East Region - 1st Round,53,saint mary's,7,114.869,96.2716,6.46,0.829,17.43,0.152197,0.220191,0.695,63.4514,59.6571,19.9429,18.4286,63,vanderbilt,10,113.702,107.065,10.05,0.606,14.66,0.146712,0.165488,0.746,69.4,61.6364,24.9091,20.6061,1
34,2025,Men's Basketball Championship - South Region - 1st Round,31,marquette,7,112.635,101.125,10.37,0.676,18.19,0.137603,0.160969,0.72,67.9706,62.4412,28.9706,16.1765,43,new mexico,10,111.244,97.5502,6.52,0.771,15.2,0.157848,0.165346,0.689,72.4023,62.8,20.0286,23.0571,0
35,2025,Men's Basketball Championship - East Region - 1st Round,38,mississippi st,8,113.879,106.215,11.79,0.618,17.14,0.15372,0.183201,0.701,69.8365,63.1471,26.9412,19.8824,8,baylor,9,114.305,104.823,13.86,0.571,18.77,0.16219,0.1948,0.747,66.5886,60.7143,24.1714,18.2857,0
36,2025,Men's Basketball Championship - West Region - 1st Round,13,uconn,8,118.406,104.571,8.87,0.686,17.87,0.170845,0.172162,0.791,65.0549,57.3714,24.5143,17.6571,46,oklahoma,9,113.203,107.928,11.22,0.588,14.86,0.174846,0.122094,0.795,69.1365,55.7059,23.1765,22.2353,1
37,2025,Men's Basketball Championship - South Region - 2nd Round,7,auburn,1,121.092,101.313,15.13,0.842,28.68,0.137875,0.17244,0.727,68.521,61.6842,25.1579,20.9211,14,creighton,9,111.583,103.534,11.04,0.694,16.49,0.180701,0.124437,0.728,67.6378,56.6944,27.7222,16.2222,1
38,2025,Men's Basketball Championship - Midwest Region - 2nd Round,23,houston,1,117.018,93.1855,13.45,0.875,28.45,0.142996,0.203372,0.74,62.939,59.6,20.7,16.225,20,gonzaga,8,122.961,99.499,7.27,0.743,23.75,0.13581,0.156547,0.804,70.2663,63.2,21.2286,19.3714,1
39,2025,Men's Basketball Championship - West Region - 2nd Round,52,saint johns,2,111.268,93.268,8.56,0.861,21.25,0.154396,0.21072,0.691,70.5256,65.7222,20.3889,19.9444,6,arkansas,10,109.858,102.15,11.7,0.611,17.09,0.164489,0.13628,0.739,69.9133,58.75,21.5,20.8889,0
40,2025,Men's Basketball Championship - Midwest Region - 2nd Round,54,tennessee,2,115.647,98.5446,13.25,0.789,24.2,0.163213,0.179658,0.745,64.0105,56.2632,24.3947,20.0,59,ucla,7,112.995,99.3297,10.71,0.676,19.68,0.160845,0.163981,0.71,65.6459,57.6471,21.0294,18.6471,1
41,2025,Men's Basketball Championship - West Region - 2nd Round,57,texas tech,3,120.505,101.984,10.62,0.757,23.05,0.143333,0.176348,0.76,67.1276,61.4595,27.3243,17.9189,15,drake,11,115.263,97.2476,1.27,0.886,9.6,0.182988,0.166953,0.699,60.5817,50.2571,18.4,21.2571,1
42,2025,Men's Basketball Championship - East Region - 2nd Round,64,wisconsin,3,117.561,103.996,11.49,0.73,20.73,0.1412,0.137631,0.826,68.1416,59.027,28.4324,20.1622,10,byu,6,118.256,105.385,10.21,0.722,19.07,0.175104,0.163807,0.713,68.8478,60.0278,28.5556,18.2778,0
43,2025,Men's Basketball Championship - Midwest Region - 2nd Round,48,purdue,4,117.895,107.381,13.91,0.667,20.8,0.158974,0.149223,0.732,65.5244,56.3056,21.6111,19.5,33,mcneese,12,116.635,98.1826,-1.05,0.8,9.14,0.164943,0.178435,0.697,65.6503,57.6857,21.2,20.1143,1
44,2025,Men's Basketball Championship - South Region - 2nd Round,56,texas a&m,4,110.608,101.845,13.39,0.676,19.3,0.180496,0.236737,0.692,67.4612,60.2941,22.7353,24.9118,35,michigan,5,110.635,101.393,13.69,0.73,20.21,0.198261,0.156844,0.728,70.4778,58.3784,24.5135,20.8649,0
45,2025,Men's Basketball Championship - West Region - 2nd Round,18,florida,1,121.541,99.7849,12.6,0.9,27.78,0.15914,0.196774,0.728,69.75,62.75,27.425,21.875,13,uconn,8,118.406,104.571,8.87,0.686,17.87,0.170845,0.172162,0.791,65.0549,57.3714,24.5143,17.6571,1
46,2025,Men's Basketball Championship - East Region - 2nd Round,16,duke,1,126.408,95.3316,10.26,0.897,30.72,0.141362,0.161612,0.79,65.8431,58.6923,26.1538,19.2821,8,baylor,9,114.305,104.823,13.86,0.571,18.77,0.16219,0.1948,0.747,66.5886,60.7143,24.1714,18.2857,1
47,2025,Men's Basketball Championship - East Region - 2nd Round,2,alabama,2,120.204,107.736,16.14,0.757,25.54,0.168035,0.164452,0.72,75.4346,64.0811,29.8378,25.1892,53,saint mary's,7,114.869,96.2716,6.46,0.829,17.43,0.152197,0.220191,0.695,63.4514,59.6571,19.9429,18.4286,1
48,2025,Men's Basketball Championship - South Region - 2nd Round,36,michigan st,2,113.333,97.9542,11.89,0.811,22.43,0.165623,0.17351,0.779,68.5373,59.2432,19.4865,22.3514,43,new mexico,10,111.244,97.5502,6.52,0.771,15.2,0.157848,0.165346,0.689,72.4023,62.8,20.0286,23.0571,1
49,2025,Men's Basketball Championship - Midwest Region - 2nd Round,27,kentucky,3,117.405,107.364,14.04,0.667,21.26,0.151391,0.137488,0.731,71.9256,61.4167,25.2778,21.6111,24,illinois,6,115.833,103.644,12.79,0.629,21.59,0.161857,0.17927,0.762,72.1977,63.8,30.1143,21.9429,1
50,2025,Men's Basketball Championship - South Region - 2nd Round,25,iowa st,3,115.635,98.3633,10.33,0.714,22.33,0.172712,0.14845,0.753,69.48,58.1143,21.3714,22.0,37,ole miss,6,111.903,103.97,12.8,0.667,18.28,0.130466,0.133285,0.738,68.9833,59.8889,23.9722,21.1111,0
51,2025,Men's Basketball Championship - West Region - 2nd Round,32,maryland,4,115.922,96.0255,9.41,0.75,23.33,0.144555,0.150909,0.75,69.9467,61.4444,21.7222,20.3333,12,colorado st,12,113.471,101.566,6.05,0.722,13.94,0.173538,0.126591,0.775,66.2678,55.4444,23.75,17.5278,1
52,2025,Men's Basketball Championship - East Region - 2nd Round,5,arizona,4,117.805,104.643,13.72,0.649,22.94,0.162503,0.176013,0.78,70.0195,61.2973,21.2703,21.973,47,oregon,5,111.776,103.473,12.32,0.714,18.0,0.164806,0.148951,0.757,68.4789,58.8571,22.5143,19.4,1
53,2025,Men's Basketball Championship - West Region - Sweet 16,18,florida,1,121.541,99.7849,12.6,0.9,27.78,0.15914,0.196774,0.728,69.75,62.75,27.425,21.875,32,maryland,4,115.922,96.0255,9.41,0.75,23.33,0.144555,0.150909,0.75,69.9467,61.4444,21.7222,20.3333,1
54,2025,Men's Basketball Championship - East Region - Sweet 16,16,duke,1,126.408,95.3316,10.26,0.897,30.72,0.141362,0.161612,0.79,65.8431,58.6923,26.1538,19.2821,5,arizona,4,117.805,104.643,13.72,0.649,22.94,0.162503,0.176013,0.78,70.0195,61.2973,21.2703,21.973,1
55,2025,Men's Basketball Championship - East Region - Sweet 16,2,alabama,2,120.204,107.736,16.14,0.757,25.54,0.168035,0.164452,0.72,75.4346,64.0811,29.8378,25.1892,10,byu,6,118.256,105.385,10.21,0.722,19.07,0.175104,0.163807,0.713,68.8478,60.0278,28.5556,18.2778,1
56,2025,Men's Basketball Championship - West Region - Sweet 16,57,texas tech,3,120.505,101.984,10.62,0.757,23.05,0.143333,0.176348,0.76,67.1276,61.4595,27.3243,17.9189,6,arkansas,10,109.858,102.15,11.7,0.611,17.09,0.164489,0.13628,0.739,69.9133,58.75,21.5,20.8889,1
57,2025,Men's Basketball Championship - South Region - Sweet 16,7,auburn,1,121.092,101.313,15.13,0.842,28.68,0.137875,0.17244,0.727,68.521,61.6842,25.1579,20.9211,35,michigan,5,110.635,101.393,13.69,0.73,20.21,0.198261,0.156844,0.728,70.4778,58.3784,24.5135,20.8649,1
58,2025,Men's Basketball Championship - Midwest Region - Sweet 16,23,houston,1,117.018,93.1855,13.45,0.875,28.45,0.142996,0.203372,0.74,62.939,59.6,20.7,16.225,48,purdue,4,117.895,107.381,13.91,0.667,20.8,0.158974,0.149223,0.732,65.5244,56.3056,21.6111,19.5,1
59,2025,Men's Basketball Championship - South Region - Sweet 16,36,michigan st,2,113.333,97.9542,11.89,0.811,22.43,0.165623,0.17351,0.779,68.5373,59.2432,19.4865,22.3514,37,ole miss,6,111.903,103.97,12.8,0.667,18.28,0.130466,0.133285,0.738,68.9833,59.8889,23.9722,21.1111,1
60,2025,Men's Basketball Championship - Midwest Region - Sweet 16,54,tennessee,2,115.647,98.5446,13.25,0.789,24.2,0.163213,0.179658,0.745,64.0105,56.2632,24.3947,20.0,27,kentucky,3,117.405,107.364,14.04,0.667,21.26,0.151391,0.137488,0.731,71.9256,61.4167,25.2778,21.6111,1
61,2025,Men's Basketball Championship - West Region - Elite 8,18,florida,1,121.541,99.7849,12.6,0.9,27.78,0.15914,0.196774,0.728,69.75,62.75,27.425,21.875,57,texas tech,3,120.505,101.984,10.62,0.757,23.05,0.143333,0.176348,0.76,67.1276,61.4595,27.3243,17.9189,1
62,2025,Men's Basketball Championship - East Region - Elite 8,16,duke,1,126.408,95.3316,10.26,0.897,30.72,0.141362,0.161612,0.79,65.8431,58.6923,26.1538,19.2821,2,alabama,2,120.204,107.736,16.14,0.757,25.54,0.168035,0.164452,0.72,75.4346,64.0811,29.8378,25.1892,1
63,2025,Men's Basketball Championship - Midwest Region - Elite 8,23,houston,1,117.018,93.1855,13.45,0.875,28.45,0.142996,0.203372,0.74,62.939,59.6,20.7,16.225,54,tennessee,2,115.647,98.5446,13.25,0.789,24.2,0.163213,0.179658,0.745,64.0105,56.2632,24.3947,20.0,1
64,2025,Men's Basketball Championship - South Region - Elite 8,7,auburn,1,121.092,101.313,15.13,0.842,28.68,0.137875,0.17244,0.727,68.521,61.6842,25.1579,20.9211,36,michigan st,2,113.333,97.9542,11.89,0.811,22.43,0.165623,0.17351,0.779,68.5373,59.2432,19.4865,22.3514,1
65,2025,Men's Basketball Championship - Final Four,7,auburn,1,121.092,101.313,15.13,0.842,28.68,0.137875,0.17244,0.727,68.521,61.6842,25.1579,20.9211,18,florida,1,121.541,99.7849,12.6,0.9,27.78,0.15914,0.196774,0.728,69.75,62.75,27.425,21.875,0
66,2025,Men's Basketball Championship - Final Four,16,duke,1,126.408,95.3316,10.26,0.897,30.72,0.141362,0.161612,0.79,65.8431,58.6923,26.1538,19.2821,23,houston,1,117.018,93.1855,13.45,0.875,28.45,0.142996,0.203372,0.74,62.939,59.6,20.7,16.225,0
67,2025,Men's Basketball Championship - National Championship,23,houston,1,117.018,93.1855,13.45,0.875,28.45,0.142996,0.203372,0.74,62.939,59.6,20.7,16.225,18,florida,1,121.541,99.7849,12.6,0.9,27.78,0.15914,0.196774,0.728,69.75,62.75,27.425,21.875,0
68,2024,Men's Basketball Championship - Midwest Region - First Four,131,virginia,10,103.238,98.0761,7.31,0.676,10.45,0.132183,0.143761,0.637,60.9671,55.5,18.0882,14.0294,80,colorado st,10,112.816,100.939,7.28,0.694,13.4,0.156701,0.117942,0.752,66.6522,56.2222,21.6944,17.8333,0
69,2024,Men's Basketball Championship - West Region - First Four,93,howard,16,107.806,106.86,-8.02,0.514,-8.69,0.222352,0.162346,0.751,69.5166,55.2,21.6286,23.0571,133,wagner,16,100.707,99.7491,-8.58,0.515,-10.64,0.156112,0.176704,0.704,63.28,57.9697,22.0303,15.0303,0
70,2024,Men's Basketball Championship - South Region - First Four,74,boise st,10,112.844,101.1,7.35,0.667,13.31,0.166603,0.174797,0.736,66.5709,57.9697,23.0,20.7879,79,colorado,10,115.217,104.186,8.36,0.703,15.95,0.183327,0.144463,0.784,68.8476,57.3243,17.5405,20.1081,0
